id,value,feed_id,created_at,lat,lon,ele
0FSRBPWJ71W0SFRV1GED2NRBN1,Door 1 OPEN,2991705,2025-01-25 05:31:18 UTC,0.0,0.0,0.0
0FSRBPYDAWKC7GNFDDMDWFQK0H,Door 1 CLOSED,2991705,2025-01-25 05:31:24 UTC,0.0,0.0,0.0
0FSRBQ417AJ8H6S4ZTEZBCCNJH,Door 1 OPEN,2991705,2025-01-25 05:31:42 UTC,0.0,0.0,0.0
0FSRBQ980P4XV9W8R05ZPF72X8,Door 1 CLOSED,2991705,2025-01-25 05:31:59 UTC,0.0,0.0,0.0
0FSRBRJR2YT990KS8KH9H5EEJN,Door 1 OPEN,2991705,2025-01-25 05:34:15 UTC,0.0,0.0,0.0
0FSRBRMHCZ7XCEBY48W835QA47,Door 1 CLOSED,2991705,2025-01-25 05:34:21 UTC,0.0,0.0,0.0
0FSRBS1PB5ZT11GMMYW969MCQR,Door 1 OPEN,2991705,2025-01-25 05:35:04 UTC,0.0,0.0,0.0
0FSRBS4GKWMY77M1V0VD78ZXN3,Door 1 CLOSED,2991705,2025-01-25 05:35:14 UTC,0.0,0.0,0.0
0FSRC7Y1M5CMZGVCYY8611CPGN,Door 1 OPEN,2991705,2025-01-25 06:01:05 UTC,0.0,0.0,0.0
0FSRC80KGC4SM5EXBS1VC7PE9G,Door 1 CLOSED,2991705,2025-01-25 06:01:14 UTC,0.0,0.0,0.0
0FSRDDB17690D65RGHMN8M08BV,Door 1 OPEN,2991705,2025-01-25 07:06:28 UTC,0.0,0.0,0.0
0FSRDDBX346JAWJSBPGJS076Z8,Door 1 CLOSED,2991705,2025-01-25 07:06:30 UTC,0.0,0.0,0.0
0FSRDDPXD7KQEVD98CE5CHVYBV,Door 1 OPEN,2991705,2025-01-25 07:07:06 UTC,0.0,0.0,0.0
0FSRGDGY9MDRF1WZRQEZPWA479,Door 1 OPEN,2991705,2025-01-25 09:54:33 UTC,0.0,0.0,0.0
0FSRGDHYVT1EWZ75AKG797JTZX,Door 1 CLOSED,2991705,2025-01-25 09:54:37 UTC,0.0,0.0,0.0
0FSRRXT59VH5ARBRZVMDBEZCBP,Door 1 OPEN,2991705,2025-01-25 17:50:25 UTC,0.0,0.0,0.0
0FSRRXVGK47GZWX8883YSKBV7T,Door 1 CLOSED,2991705,2025-01-25 17:50:29 UTC,0.0,0.0,0.0
0FSRSXFYSP18D1C6ZBWA5P15B8,Door 1 OPEN,2991705,2025-01-25 18:45:47 UTC,0.0,0.0,0.0
0FSRSXHGR2DQEB26QRSQ88GBQH,Door 1 CLOSED,2991705,2025-01-25 18:45:52 UTC,0.0,0.0,0.0
0FSRT8K1P04P1FETFXSMBRSNJ4,Door 1 OPEN,2991705,2025-01-25 19:05:10 UTC,0.0,0.0,0.0
0FSRT8KVV6ETQ48GR8Y4ZW449P,Door 1 CLOSED,2991705,2025-01-25 19:05:13 UTC,0.0,0.0,0.0
0FSRT8MBKK29NNHNKKWYK1ECWX,Door 1 OPEN,2991705,2025-01-25 19:05:15 UTC,0.0,0.0,0.0
0FSRT8XAK64GRDXZQW90SSJ7DH,Door 1 CLOSED,2991705,2025-01-25 19:05:44 UTC,0.0,0.0,0.0
0FSRTVA6TVNTAYDMKXAKNAJJD5,Door 1 OPEN,2991705,2025-01-25 19:37:54 UTC,0.0,0.0,0.0
0FSRTWB7KRESRJMZTWVVZB5JT2,Door 1 CLOSED,2991705,2025-01-25 19:39:42 UTC,0.0,0.0,0.0
0FSRV5B86YEE18N8DXXCQD28SM,Door 1 OPEN,2991705,2025-01-25 19:55:26 UTC,0.0,0.0,0.0
0FSRV5JZWNT7FRFPD7G875F0MR,Door 1 CLOSED,2991705,2025-01-25 19:55:51 UTC,0.0,0.0,0.0
0FSRVWTD00BVBT8QG60WPR04H1,Door 1 OPEN,2991705,2025-01-25 20:36:27 UTC,0.0,0.0,0.0
0FSRVXAXKEGA6ZAXZ893BH0TMD,Door 1 CLOSED,2991705,2025-01-25 20:37:21 UTC,0.0,0.0,0.0
0FSRWSRKDNW83MDYDZNNNQ417Y,Door 1 OPEN,2991705,2025-01-25 21:27:02 UTC,0.0,0.0,0.0
0FSRWSSMCNCESEQG27CNWBPEM6,Door 1 CLOSED,2991705,2025-01-25 21:27:05 UTC,0.0,0.0,0.0
0FSRWV6KY4RFVJWPF5MDKY2M5W,Door 1 OPEN,2991705,2025-01-25 21:29:33 UTC,0.0,0.0,0.0
0FSRWVEK8FSYT9SQESM8EBN7NW,Door 1 CLOSED,2991705,2025-01-25 21:29:59 UTC,0.0,0.0,0.0
0FSRWVFS80XT909N5ARDR8XVTE,Door 1 OPEN,2991705,2025-01-25 21:30:03 UTC,0.0,0.0,0.0
0FSRWVGYXPE2ZWMEZ27J8D3SDJ,Door 1 CLOSED,2991705,2025-01-25 21:30:07 UTC,0.0,0.0,0.0
0FSRWVJ5GYJFZGQMS7S39GQ5X9,Door 1 OPEN,2991705,2025-01-25 21:30:11 UTC,0.0,0.0,0.0
0FSRWVX3S3V2C8B562KJ1HAAMA,Door 1 CLOSED,2991705,2025-01-25 21:30:46 UTC,0.0,0.0,0.0
0FSRWVXKW44CD5HNBK7V1Q7H3D,Door 1 OPEN,2991705,2025-01-25 21:30:48 UTC,0.0,0.0,0.0
0FSRWVXS27Q07Y0J5TXN1NKNWR,Door 1 CLOSED,2991705,2025-01-25 21:30:49 UTC,0.0,0.0,0.0
0FSRWVZKCYZ7KGT2V8N0MX4MFS,Door 1 OPEN,2991705,2025-01-25 21:30:55 UTC,0.0,0.0,0.0
0FSRWW0ADM26XMDP675ENND8GB,Door 1 CLOSED,2991705,2025-01-25 21:30:57 UTC,0.0,0.0,0.0
0FSRWXPJRHXC12CFNV7X9936F1,Door 1 OPEN,2991705,2025-01-25 21:33:55 UTC,0.0,0.0,0.0
0FSRWXQXYF941P1GKS5P2XN0WM,Door 1 CLOSED,2991705,2025-01-25 21:33:59 UTC,0.0,0.0,0.0
0FSRWYF0Q2YQ7D58QVPHSGW21V,Door 1 OPEN,2991705,2025-01-25 21:35:15 UTC,0.0,0.0,0.0
0FSRWYHTHWG4R7KQ1MD2KE1WSH,Door 1 CLOSED,2991705,2025-01-25 21:35:24 UTC,0.0,0.0,0.0
0FSRWYMAYY0HQ5CCXV7K2ZH3N1,Door 1 OPEN,2991705,2025-01-25 21:35:32 UTC,0.0,0.0,0.0
0FSRWYMYWVR7SP514MCWW3BRYN,Door 1 CLOSED,2991705,2025-01-25 21:35:34 UTC,0.0,0.0,0.0
0FSRX058ZKG8QJN7BYQWSKECQ4,Door 1 OPEN,2991705,2025-01-25 21:38:13 UTC,0.0,0.0,0.0
0FSRX0785BC5ANTQQPX21HPH02,Door 1 CLOSED,2991705,2025-01-25 21:38:19 UTC,0.0,0.0,0.0
0FSRX1ETW3GFAGGKGG5CEK424E,Door 1 OPEN,2991705,2025-01-25 21:40:29 UTC,0.0,0.0,0.0
0FSRX1HYXCWKYAXE147Z2H2SGW,Door 1 CLOSED,2991705,2025-01-25 21:40:39 UTC,0.0,0.0,0.0
